key_index,capture_frame,mame_frame,source_png,review_png,tile_hash,png_hash
65,465,2977,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00465_mame_2977.png,keyframes/key_0065.png,eaf7e1f803cb95caf9fda010b205215aa6e42a5d,1f6853c6998cb54f20d47158c2b163abcae56e1d
66,468,2980,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00468_mame_2980.png,keyframes/key_0066.png,23eca282c37277536fdcc0b20238d577fe7092d4,3e6a1f8a3c273eed146dfa838cb5e1fc3cd86b2c
67,473,2985,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00473_mame_2985.png,keyframes/key_0067.png,e07deb92a213a5c7668a79c745f3e568a22be022,d126c17e93bd971871e68322cac051539cdb4222
68,491,3003,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00491_mame_3003.png,keyframes/key_0068.png,57487f008cef28890ea9227bf837bfd9e8b01d8f,4a933da315736544462c236c9367f59bdf549d46
69,497,3009,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00497_mame_3009.png,keyframes/key_0069.png,b6871a51544538316e1a470552677bda4d8822bd,abcff5426d65a1834f05aad3de1115dfee874eb6
70,505,3017,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00505_mame_3017.png,keyframes/key_0070.png,751356f97c2cadb36ce8ce7c3e2d9771ddc3c0eb,0819e753606046cb4bfff331935aa751ce6342cc
71,523,3035,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00523_mame_3035.png,keyframes/key_0071.png,1e24e9c048ed022c57502852bbf78fd929b05019,bdc4f2d72f91ad54ba6fba3edc2245addab30524
72,529,3041,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00529_mame_3041.png,keyframes/key_0072.png,2a77f04bfbbc551a9283fec84453f161a0784e77,8c6851f59947a6772dbf4dca648b12cd9ca0454d
73,545,3057,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00545_mame_3057.png,keyframes/key_0073.png,61976d0c180f025c553c5f0ee63a3ff19236c2ac,2e10eb3ea551a533b847f3d8f17fd4f812e9323e
74,563,3075,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00563_mame_3075.png,keyframes/key_0074.png,b9b25f4575720ed3898226799d1aeda3b477f1bf,75d5e9e906134a0e35dab6949a4584927ec20436
75,577,3089,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00577_mame_3089.png,keyframes/key_0075.png,6a5112d945dd48544df792df75f10fd15c998a95,c2a5d74c1f7c2b674161da147235e3f87f232187
76,595,3107,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00595_mame_3107.png,keyframes/key_0076.png,35c00f09f843058b438aadc0373bf1e8c096b33d,57882ab0b35f5fe46aab992f8efb8523353d9fdc
77,601,3113,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00601_mame_3113.png,keyframes/key_0077.png,5d0e52239cce7d3e9d03ac87bacce7ba58ba1fe1,ab112291d49caac841c466d4ce78d4aae9e88df1
78,617,3129,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00617_mame_3129.png,keyframes/key_0078.png,17f45b81623d308f85a6f0b33de12711bb112d6a,253418c04f25a5b971ab485ceba835061f4d855e
79,635,3147,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00635_mame_3147.png,keyframes/key_0079.png,c7be0fa71198e696e13c282014f40f520909d39e,e2054f8eeeba7669551e1b6b895a96c65ff46ad0
80,641,3153,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00641_mame_3153.png,keyframes/key_0080.png,57d584430deb3521c37182c19443f5c750c4b4b7,5a460169e34508d9ce1eb9276c10fd882102603e
