from_capture_frame,to_capture_frame,from_mame_frame,to_mame_frame,changed_tiles,bounds,rows,image
1649,1655,7602,7608,240,"0,120-159,239",15:6 16:20 17:20 18:20 19:20 20:20 21:20 22:17 23:20 24:20 25:20 26:20 27:7 28:5 29:5,keyframes/frame_01655_mame_7608.png
1655,1667,7608,7620,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:15,keyframes/frame_01667_mame_7620.png
1667,1673,7620,7626,284,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:15 27:16 28:20 29:17,keyframes/frame_01673_mame_7626.png
1673,1679,7626,7632,267,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:12 27:17 28:14 29:10,keyframes/frame_01679_mame_7632.png
1679,1684,7632,7637,1,"160,8-167,15",1:1,keyframes/frame_01684_mame_7637.png
1684,1685,7637,7638,237,"0,120-159,239",15:16 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:9 26:20 27:12 28:6 29:2,keyframes/frame_01685_mame_7638.png
1685,1693,7638,7646,237,"0,120-159,239",15:16 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:9 26:20 27:12 28:6 29:2,keyframes/frame_01693_mame_7646.png
1693,1699,7646,7652,267,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:12 27:17 28:14 29:10,keyframes/frame_01699_mame_7652.png
1699,1705,7652,7658,284,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:15 27:16 28:20 29:17,keyframes/frame_01705_mame_7658.png
1705,1710,7658,7663,1,"160,8-167,15",1:1,keyframes/frame_01710_mame_7663.png
1710,1711,7663,7664,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:15,keyframes/frame_01711_mame_7664.png
1711,1735,7664,7688,1,"160,8-167,15",1:1,keyframes/frame_01735_mame_7688.png
1735,1736,7688,7689,301,"0,16-167,239",2:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_01736_mame_7689.png
1736,1755,7689,7708,277,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:19 23:20 24:15 25:15 26:20 27:20 28:15 29:13,keyframes/frame_01755_mame_7708.png
1755,1761,7708,7714,283,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:14,keyframes/frame_01761_mame_7714.png
1761,1767,7714,7720,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_01767_mame_7720.png
1767,1772,7720,7725,1,"160,16-167,23",2:1,keyframes/frame_01772_mame_7725.png
1772,1773,7725,7726,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_01773_mame_7726.png
1773,1786,7726,7739,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_01786_mame_7739.png
1786,1792,7739,7745,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_01792_mame_7745.png
1792,1798,7745,7751,283,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:14,keyframes/frame_01798_mame_7751.png
1798,1804,7751,7757,278,"0,16-167,239",2:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:19 23:20 24:15 25:15 26:20 27:20 28:15 29:13,keyframes/frame_01804_mame_7757.png
1804,1815,7757,7768,2,"160,16-175,23",2:2,keyframes/frame_01815_mame_7768.png
1815,1816,7768,7769,294,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:20 27:18 28:20 29:17,keyframes/frame_01816_mame_7769.png
1816,1822,7769,7775,251,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:5 27:4 28:20 29:2,keyframes/frame_01822_mame_7775.png
1822,1828,7775,7781,229,"0,120-159,239",15:3 16:20 17:20 18:20 19:20 20:20 21:18 22:20 23:20 24:20 25:20 26:20 27:4 28:2 29:2,keyframes/frame_01828_mame_7781.png
1828,1829,7781,7782,1,"32,24-39,31",3:1,keyframes/frame_01829_mame_7782.png
1829,1864,7782,7817,248,"0,120-159,239",15:17 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:11 26:20 27:14 28:9 29:5,keyframes/frame_01864_mame_7817.png
1864,1870,7817,7823,263,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:17 28:13 29:7,keyframes/frame_01870_mame_7823.png
1870,1876,7823,7829,274,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:17 27:19 28:13 29:7,keyframes/frame_01876_mame_7829.png
1876,1881,7829,7834,1,"168,16-175,23",2:1,keyframes/frame_01881_mame_7834.png
1881,1882,7834,7835,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:19 28:20 29:18,keyframes/frame_01882_mame_7835.png
1882,1894,7835,7847,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:19 28:20 29:18,keyframes/frame_01894_mame_7847.png
1894,1900,7847,7853,274,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:17 27:19 28:13 29:7,keyframes/frame_01900_mame_7853.png
1900,1906,7853,7859,263,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:15 26:13 27:17 28:13 29:7,keyframes/frame_01906_mame_7859.png
1906,1911,7859,7864,1,"168,16-175,23",2:1,keyframes/frame_01911_mame_7864.png
1911,1912,7864,7865,248,"0,120-159,239",15:17 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:13 25:11 26:20 27:14 28:9 29:5,keyframes/frame_01912_mame_7865.png
1912,1949,7865,7902,2,"168,16-183,23",2:2,keyframes/frame_01949_mame_7902.png
1949,1950,7902,7903,296,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:18 28:20 29:18,keyframes/frame_01950_mame_7903.png
1950,1956,7903,7909,238,"0,120-159,231",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:20 25:20 28:20,keyframes/frame_01956_mame_7909.png
1956,1962,7909,7915,206,"0,120-159,215",15:2 16:20 17:20 18:16 19:20 20:20 21:10 22:20 23:18 24:20 25:20 26:20,keyframes/frame_01962_mame_7915.png
1962,1969,7915,7922,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_01969_mame_7922.png
1969,1975,7922,7928,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_01975_mame_7928.png
1975,1981,7928,7934,282,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:14,keyframes/frame_01981_mame_7934.png
1981,1986,7934,7939,1,"176,16-183,23",2:1,keyframes/frame_01986_mame_7939.png
1986,1987,7939,7940,278,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:13,keyframes/frame_01987_mame_7940.png
1987,1994,7940,7947,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:15,keyframes/frame_01994_mame_7947.png
1994,2000,7947,7953,285,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:16,keyframes/frame_02000_mame_7953.png
2000,2006,7953,7959,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:19 27:20 28:20 29:19,keyframes/frame_02006_mame_7959.png
2006,2012,7959,7965,295,"0,16-183,239",2:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:20 25:19 26:20 27:19 28:20 29:18,keyframes/frame_02012_mame_7965.png
2012,2021,7965,7974,1,"32,24-39,31",3:1,keyframes/frame_02021_mame_7974.png
2021,2024,7974,7977,286,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:19 25:17 26:20 27:18 28:17 29:17,keyframes/frame_02024_mame_7977.png
2024,2030,7977,7983,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:19 29:18,keyframes/frame_02030_mame_7983.png
2030,2036,7983,7989,288,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:20 29:18,keyframes/frame_02036_mame_7989.png
2036,2041,7989,7994,1,"176,16-183,23",2:1,keyframes/frame_02041_mame_7994.png
2041,2042,7994,7995,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:15,keyframes/frame_02042_mame_7995.png
2042,2051,7995,8004,273,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:13 26:20 27:19 28:15 29:11,keyframes/frame_02051_mame_8004.png
2051,2057,8004,8010,282,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:14,keyframes/frame_02057_mame_8010.png
2057,2063,8010,8016,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_02063_mame_8016.png
2063,2068,8016,8021,1,"176,16-183,23",2:1,keyframes/frame_02068_mame_8021.png
2068,2069,8021,8022,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_02069_mame_8022.png
2069,2081,8022,8034,300,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:20,keyframes/frame_02081_mame_8034.png
2081,2087,8034,8040,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_02087_mame_8040.png
2087,2093,8040,8046,282,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:14,keyframes/frame_02093_mame_8046.png
2093,2098,8046,8051,1,"176,16-183,23",2:1,keyframes/frame_02098_mame_8051.png
2098,2099,8051,8052,278,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:13,keyframes/frame_02099_mame_8052.png
2099,2127,8052,8080,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:15,keyframes/frame_02127_mame_8080.png
2127,2133,8080,8086,285,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:16,keyframes/frame_02133_mame_8086.png
2133,2139,8086,8092,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:19 27:20 28:20 29:19,keyframes/frame_02139_mame_8092.png
2139,2145,8092,8098,295,"0,16-183,239",2:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:20 25:19 26:20 27:19 28:20 29:18,keyframes/frame_02145_mame_8098.png
2145,2191,8098,8144,294,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:20 25:19 26:20 27:19 28:20 29:18,keyframes/frame_02191_mame_8144.png
2191,2197,8144,8150,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:19 27:20 28:20 29:19,keyframes/frame_02197_mame_8150.png
2197,2203,8150,8156,285,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:16,keyframes/frame_02203_mame_8156.png
2203,2208,8156,8161,1,"176,16-183,23",2:1,keyframes/frame_02208_mame_8161.png
2208,2209,8161,8162,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:15,keyframes/frame_02209_mame_8162.png
2209,2212,8162,8165,1,"32,24-39,31",3:1,keyframes/frame_02212_mame_8165.png
2212,2228,8165,8181,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:15 25:15 26:20 27:20 28:15 29:15,keyframes/frame_02228_mame_8181.png
2228,2234,8181,8187,285,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:19 21:20 22:20 23:20 24:20 25:17 26:17 27:17 28:19 29:16,keyframes/frame_02234_mame_8187.png
2234,2240,8187,8193,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:19 27:20 28:20 29:19,keyframes/frame_02240_mame_8193.png
2240,2246,8193,8199,295,"0,16-183,239",2:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:18 23:20 24:20 25:19 26:20 27:19 28:20 29:18,keyframes/frame_02246_mame_8199.png
