index,name,type,width,height,atlas_x,atlas_y,atlas_w,atlas_h,source_kind,source,source_crop_x,source_crop_y,source_component,source_x,source_y,source_w,source_h,area,source_count,hash,image
325,"wall_0325",wall,128,101,1836,1112,128,101,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_007_capture_0016.png",0,0,2,0,11,128,101,7789,1,e89686531d408d37f7a9dd06b369f5f129c6fbff,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0325.png"
359,"wall_0359",wall,40,103,1966,1112,40,103,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_019_capture_0034.png",0,0,2,0,9,40,103,3086,1,e06b31c2ed3d4ea1df5f3b4cefb782013a25149b,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0359.png"
34,"wall_0034",wall,64,103,2,1217,64,103,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0022.png",0,96,2,0,129,64,103,4025,25,435bd18a1f2a84963a8ce1e05f39fa408fc8fc15,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0034.png"
310,"wall_0310",wall,64,103,68,1217,64,103,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_001_capture_0001.png",0,0,2,0,9,64,103,3897,1,8ba7ec40042673fe0d1f68ab7eb2f94c4407f77b,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0310.png"
66,"wall_0066",wall,104,103,134,1217,104,103,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0008.png",0,96,2,0,129,104,103,5414,7,8216ddf5954c0747cb9b354085926f07cd6993c4,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0066.png"
313,"wall_0313",wall,104,103,240,1217,104,103,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_002_capture_0003.png",0,0,2,0,9,104,103,5116,2,15d1abe1420bf43e0d2ac251ea4f05662106d0aa,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0313.png"
81,"wall_0081",wall,120,103,346,1217,120,103,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0019.png",0,96,2,0,129,120,103,7168,6,66215f295129025cc5494a0a76f4d83c7c48eb7e,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0081.png"
322,"wall_0322",wall,120,103,468,1217,120,103,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_006_capture_0009.png",0,0,2,0,9,120,103,7120,1,f8143c0a0d7cd69b2284351de393492ff3efae04,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0322.png"
142,"wall_0142",wall,127,103,590,1217,127,103,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0006.png",0,96,2,0,129,127,103,5847,2,5c49142745830d8cde66903427ee13bc622a8b47,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0142.png"
385,"wall_0385",wall,127,103,719,1217,127,103,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_027_capture_0059.png",0,0,2,0,9,127,103,7139,1,6c2efa8ece9370e7e452417ad26416a3893a91f3,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/wall_0385.png"
